,Jordan,Lebanon,Syria,West Bank,Gaza Strip,Total registered refugees,Year
1950,506200,127600,82194,0,198227,914221,1950
1960,613743,136561,115043,0,255542,1120889,1960
1970,506038,175958,158717,272692,311814,1425219,1970
1980,716372,226554,209362,324035,367995,1844318,1980
1990,929097,302049,280731,414298,496339,2422514,1990
2000,1570192,376472,383199,583009,824622,3737494,2000
2004,1758274,396890,417346,675670,938531,4186711,2004
2009,1951603,422188,461897,762820,1073303,4671811,2009
2018,2242579,475075,560139,846465,1421282,5545540,2018
